disease,symptoms,preventive_measures
Ischemic heart disease,"Chest pain or discomfort, shortness of breath, fatigue, dizziness, palpitations, leg swelling (varies by condition)","Control blood pressure, quit smoking, healthy diet (low salt, saturated fat), regular exercise, maintain healthy weight, lipid control, regular medical review"
Stroke (ischemic),"Chest pain or discomfort, shortness of breath, fatigue, dizziness, palpitations, leg swelling (varies by condition)","Control blood pressure, quit smoking, healthy diet (low salt, saturated fat), regular exercise, maintain healthy weight, lipid control, regular medical review"
Stroke (hemorrhagic),"Chest pain or discomfort, shortness of breath, fatigue, dizziness, palpitations, leg swelling (varies by condition)","Control blood pressure, quit smoking, healthy diet (low salt, saturated fat), regular exercise, maintain healthy weight, lipid control, regular medical review"
Hypertension (high blood pressure),"Chest pain or discomfort, shortness of breath, fatigue, dizziness, palpitations, leg swelling (varies by condition)","Control blood pressure, quit smoking, healthy diet (low salt, saturated fat), regular exercise, maintain healthy weight, lipid control, regular medical review"
Coronary artery disease,"Chest pain or discomfort, shortness of breath, fatigue, dizziness, palpitations, leg swelling (varies by condition)","Control blood pressure, quit smoking, healthy diet (low salt, saturated fat), regular exercise, maintain healthy weight, lipid control, regular medical review"
Heart failure,"Chest pain or discomfort, shortness of breath, fatigue, dizziness, palpitations, leg swelling (varies by condition)","Control blood pressure, quit smoking, healthy diet (low salt, saturated fat), regular exercise, maintain healthy weight, lipid control, regular medical review"
Atrial fibrillation,"Chest pain or discomfort, shortness of breath, fatigue, dizziness, palpitations, leg swelling (varies by condition)","Control blood pressure, quit smoking, healthy diet (low salt, saturated fat), regular exercise, maintain healthy weight, lipid control, regular medical review"
Peripheral artery disease,"Symptoms vary — common signs include fever, fatigue, pain, localized swelling, gastrointestinal upset, cough, rash (condition-specific)","Hand hygiene, vaccinations where available, safe food/water practices, avoid exposure risks, seek early medical care, follow public health guidance"
Rheumatic heart disease,"Chest pain or discomfort, shortness of breath, fatigue, dizziness, palpitations, leg swelling (varies by condition)","Control blood pressure, quit smoking, healthy diet (low salt, saturated fat), regular exercise, maintain healthy weight, lipid control, regular medical review"
Congenital heart disease,"Chest pain or discomfort, shortness of breath, fatigue, dizziness, palpitations, leg swelling (varies by condition)","Control blood pressure, quit smoking, healthy diet (low salt, saturated fat), regular exercise, maintain healthy weight, lipid control, regular medical review"
Type 1 diabetes,"Increased thirst, frequent urination, fatigue, blurred vision, slow wound healing, numbness/tingling in extremities","Healthy diet, regular physical activity, weight management, regular blood glucose screening, avoid tobacco, adhere to medications"
Type 2 diabetes,"Increased thirst, frequent urination, fatigue, blurred vision, slow wound healing, numbness/tingling in extremities","Healthy diet, regular physical activity, weight management, regular blood glucose screening, avoid tobacco, adhere to medications"
Gestational diabetes,"Increased thirst, frequent urination, fatigue, blurred vision, slow wound healing, numbness/tingling in extremities","Healthy diet, regular physical activity, weight management, regular blood glucose screening, avoid tobacco, adhere to medications"
Prediabetes,"Increased thirst, frequent urination, fatigue, blurred vision, slow wound healing, numbness/tingling in extremities","Healthy diet, regular physical activity, weight management, regular blood glucose screening, avoid tobacco, adhere to medications"
Diabetic neuropathy,"Increased thirst, frequent urination, fatigue, blurred vision, slow wound healing, numbness/tingling in extremities","Healthy diet, regular physical activity, weight management, regular blood glucose screening, avoid tobacco, adhere to medications"
